time_boot_ms,luminosity
514940,0
515350,0
515490,0
515620,0
515750,0
515890,0
516020,0
516150,0
516290,0
516420,0
516550,0
516690,0
516830,0
516960,0
517090,0
517220,0
517350,0
517480,0
517610,0
517740,0
517880,0
518010,0
518170,0
518300,0
518430,0
518560,0
518690,0
518820,0
518960,0
519090,0
519220,0
519350,0
519490,0
519620,0
519750,0
519880,0
520010,0
520140,0
520290,0
520430,0
520560,0
520690,0
520830,0
520960,0
521090,0
521220,0
521360,0
521490,0
521620,0
521750,0
521880,0
522010,0
522150,0
522290,0
522420,0
522550,0
522680,0
522810,0
522940,0
523080,0
523220,0
523350,0
523490,0
523620,0
523750,0
523880,0
524010,0
524140,0
524290,0
524420,0
524550,0
524680,0
524820,0
524960,0
525090,0
525220,0
525350,0
525500,0
525630,0
525770,0
525910,0
526040,0
526180,0
526310,0
526440,0
526570,0
526700,0
526830,0
526960,0
527090,0
527220,0
527360,0
527500,0
527630,0
527770,0
527900,0
528030,0
528170,0
528300,0
528430,0
528560,0
528690,0
528830,0
528970,0
529100,0
529250,0
529380,0
529520,0
529650,0
529790,0
529920,0
530210,0
530340,0
530470,0
530610,0
530740,0
530870,0
531000,0
531130,0
531270,0
531400,0
531540,0
531910,0
532040,0
532170,0
532300,0
532430,0
532560,0
532690,0
532820,0
532950,0
533110,0
533240,0
533390,0
533520,0
533650,0
533780,0
533910,0
534040,0
534170,0
534310,0
534450,0
534580,0
534710,0
534840,0
534970,0
535100,0
535240,0
535390,0
535520,0
535650,0
535790,0
535930,0
536070,0
536200,0
536330,0
536460,0
536590,0
536720,0
536880,0
537010,0
537150,0
537280,0
537410,0
537540,0
537670,0
537800,0
537930,0
538060,0
538190,0
538320,0
538460,0
538590,0
538730,0
538870,0
539000,0
539130,0
539680,0
539820,0
539950,0
540100,0
540230,0
540370,0
540520,0
540650,0
540780,0
540910,0
541040,0
541180,0
541310,0
541440,0
541570,0
541700,0
541830,0
541960,0
542100,0
542230,0
542370,0
542510,0
542640,0
542770,0
542900,0
543030,0
543160,0
543300,0
543430,0
543560,0
543690,0
543830,0
543960,0
544110,0
544240,0
544400,0
544530,0
544670,0
544810,0
544940,0
545070,0
545210,0
545340,0
545480,0
545610,0
545740,0
545890,0
546020,0
546150,0
546280,0
546410,0
546550,0
546680,0
546810,0
546940,0
547070,0
547200,0
547340,0
547470,0
547600,0
547730,0
547910,0
548040,0
548180,0
548310,0
548440,0
548580,0
548710,0
548840,0
548980,0
549110,0
549250,0
549400,0
549530,0
549660,0
549790,0
549920,0
550050,0
550180,0
550310,0
550440,0
550580,0
550720,0
550850,0
550980,0
551110,0
551240,0
551390,0
551540,0
551670,0
551800,0
551940,0
552070,0
552200,0
552330,0
552460,0
552590,0
552720,0
552870,0
553000,0
553130,0
553270,0
553400,0
553530,0
553660,0
553790,0
553920,0
554060,0
554190,0
554320,0
554450,0
554590,0
554720,0
554850,0
554980,0
555110,0
555260,0
555390,0
555520,0
555650,0
555780,0
555920,0
556050,0
556180,0
556310,0
556440,0
556570,0
556700,0
556830,0
556970,0
557100,0
557240,0
557390,0
557520,0
557650,0
557780,0
557910,0
558040,0
558170,0
558300,0
558430,0
558570,0
558710,0
558840,0
558970,0
559100,0
559230,0
559370,0
559500,0
559630,0
559760,0
559900,0
560030,0
560160,0
560290,0
560420,0
560550,0
560680,0
560810,0
560940,0
561070,0
561220,0
561350,0
561480,0
561610,0
561740,0
561890,0
562020,0
562150,0
562280,0
562410,0
562570,0
562700,0
562830,0
562960,0
563090,0
563220,0
563370,0
563500,0
563630,0
563760,0
563900,0
564030,0
564160,0
564290,0
564420,0
564550,0
564680,0
564810,0
564940,0
565070,0
565210,0
565350,0
565480,0
565610,0
565740,0
565890,0
566020,0
566150,0
566300,0
566430,0
566570,0
566700,0
566830,0
566960,0
567090,0
567220,0
567350,0
567480,0
567610,0
567740,0
567910,0
568040,0
568170,0
568300,0
568430,0
568570,0
568700,0
568830,0
568960,0
569090,0
569230,0
569370,0
569510,0
569640,0
569770,0
569910,0
570040,0
570170,0
570300,0
570440,0
570580,0
570710,0
570840,0
570970,0
571100,0
571230,0
571370,0
571500,0
571630,0
571760,0
571900,0
572030,0
572160,0
572290,0
572420,0
572560,0
572690,0
572820,0
572950,0
573080,0
573220,0
573350,0
573500,0
573630,0
573770,0
573900,0
574030,0
574160,0
574290,0
574420,0
574560,0
574690,0
574820,0
574960,0
575090,0
575220,0
575350,0
575480,0
575610,0
575740,0
575900,0
576030,0
576160,0
576290,0
576420,0
576550,0
576680,0
576810,0
576940,0
577100,0
577250,0
577390,0
577520,0
577650,0
577780,0
577920,0
578050,0
578180,0
578310,0
578440,0
578580,0
578710,0
578840,0
578970,0
579100,0
579230,0
579370,0
579510,0
579650,0
579780,0
579920,0
580050,0
580180,0
580310,0
580450,0
580580,0
580710,0
581580,0
581710,0
581850,0
581980,0
582110,0
582250,0
582390,0
582520,0
582660,0
582790,0
582920,0
583050,0
583190,0
583320,0
583450,0
583580,0
583710,0
583840,0
583990,0
584120,0
584250,0
584410,0
584540,0
584670,0
584800,0
584930,0
585060,0
585190,0
585330,0
585460,0
585590,0
585730,0
585870,0
586000,0
586130,0
586260,0
586400,0
586770,0
586910,0
587040,0
587170,0
587300,0
587430,0
587570,0
587700,0
587830,0
587960,0
588090,0
588230,0
588380,0
588510,0
588640,0
588780,0
588910,0
589040,0
589170,0
589300,0
589430,0
589580,0
589710,0
589840,0
589970,0
590100,0
590230,0
590360,0
590490,0
590620,0
590760,0
590900,0
591030,0
591160,0
591300,0
591430,0
591570,0
591700,0
591830,0
591990,0
592120,0
592260,0
592390,0
592520,0
592650,0
592790,0
592920,0
593050,0
593180,0
593320,0
593450,0
593600,0
593730,0
593860,0
593990,0
594120,0
594250,0
594380,0
594510,0
594640,0
594770,0
594910,0
595050,0
595180,0
595320,0
595450,0
595610,0
595740,0
595870,0
596010,0
596140,0
596280,0
596410,0
596540,0
596670,0
596800,0
596930,0
597070,0
597200,0
597330,0
597460,0
597600,0
597730,0
597870,0
598000,0
598130,0
598260,0
598390,0
598520,0
598650,0
598780,0
598920,0
599050,0
599210,0
599340,0
599470,0
599600,0
599730,0
599860,0
599990,0
600180,0
600320,0
600450,0
600590,0
600730,0
600860,0
600990,0
601190,0
601320,0
601460,0
601590,0
601730,0
601860,0
601990,0
602190,0
602320,0
602450,0
602600,0
602730,0
602860,0
603010,0
603150,0
603280,0
603410,0
603540,0
603670,0
603800,0
603930,0
604070,0
604200,0
604330,0
604470,0
604600,0
604730,0
604870,0
605000,0
605130,0
605260,0
605390,0
605530,0
605670,0
605810,0
605940,0
606090,0
606220,0
606350,0
606480,0
606630,0
606760,0
606890,0
607020,0
607170,0
607300,0
607430,0
607570,0
607700,0
607840,0
607970,0
608100,0
608230,0
608360,0
608500,0
608630,0
608760,0
608890,0
609020,0
609160,0
609290,0
609420,0
609550,0
609680,0
609820,0
609950,0
610100,0
610250,0
610380,0
610510,0
610640,0
610770,0
610910,0
611040,0
611180,0
611310,0
611440,0
611590,0
611720,0
611850,0
611990,0
612120,0
612250,0
612380,0
612520,0
612650,0
612780,0
612910,0
613040,0
613170,0
613300,0
613430,0
613570,0
613700,0
613860,0
613990,0
614120,0
614250,0
614380,0
614510,0
614640,0
614780,0
614910,0
615040,0
615190,0
615320,0
615450,0
615590,0
615720,0
615850,0
615980,0
616140,0
616270,0
617410,0
617570,0
617700,0
617830,0
617970,0
618100,0
618230,0
618360,0
618490,0
618620,0
618750,0
618880,0
619010,0
619140,0
619280,0
619420,0
619560,0
619690,0
619820,0
619950,0
620090,0
620220,0
620360,0
620500,0
620640,0
620780,0
620910,0
621040,0
621180,0
621310,0
621440,0
621590,0
621720,0
621850,0
621990,0
622120,0
622250,0
622380,0
622510,0
622640,0
622770,0
622900,0
623030,0
623160,0
623300,0
623430,0
623570,0
623700,0
623830,0
623960,0
624100,0
624230,0
624360,0
624490,0
624660,0
624790,0
624920,0
625050,0
625180,0
625320,0
625450,0
625590,0
625720,0
625850,0
625990,0
626120,0
626250,0
626380,0
626510,0
626640,0
626770,0
626900,0
627030,0
627170,0
627310,0
627440,0
627590,0
627720,0
627850,0
627980,0
628130,0
628280,0
628410,0
628540,0
628690,0
628830,0
628970,0
629100,0
629230,0
629360,0
629490,0
629620,0
629760,0
629900,0
630040,0
630170,0
630300,0
630430,0
630570,0
630700,0
630830,0
630960,0
631090,0
631220,0
631360,0
631490,0
631620,0
631770,0
631900,0
632030,0
632160,0
632290,0
632420,0
632550,0
632690,0
632820,0
632950,0
633100,0
633230,0
633370,0
633500,0
633630,0
633760,0
633890,0
634030,0
634160,0
634290,0
634430,0
634570,0
634700,0
634830,0
634970,0
635100,0
635230,0
635390,0
635520,0
635650,0
635780,0
635910,0
636040,0
636170,0
636300,0
636430,0
637290,0
637420,0
637560,0
637690,0
637820,0
637950,0
638110,0
638240,0
638380,0
638510,0
638640,0
638770,0
638900,0
639070,0
639200,0
639330,0
639470,0
639600,0
639730,0
639860,0
639990,0
640120,0
640250,0
640380,0
640510,0
640640,0
640780,0
640910,0
641040,0
641170,0
641300,0
641430,0
641580,0
641710,0
642060,0
642190,0
642330,0
642460,0
642590,0
642740,0
642880,0
643010,0
643140,0
643290,0
643420,0
643550,0
643700,0
643830,0
643960,0
644090,0
644220,0
644350,0
644480,0
644610,0
644740,0
644870,0
645010,0
645140,0
645290,0
645430,0
645560,0
645690,0
645830,0
645960,0
646090,0
646220,0
646360,0
646490,0
646620,0
646750,0
646880,0
647010,0
647140,0
647290,0
647420,0
647560,0
647700,0
647830,0
647970,0
648100,0
648240,0
648370,0
648500,0
648630,0
648770,0
648900,0
649040,0
649170,0
649300,0
649430,0
649560,0
649690,0
649840,0
649980,0
650110,0
650240,0
650380,0
650510,0
650640,0
650790,0
650920,0
651050,0
651180,0
651310,0
651450,0
651580,0
651720,0
651850,0
651980,0
652110,0
652250,0
652380,0
652510,0
652640,0
652790,0
652920,0
653060,0
653190,0
653340,0
653470,0
653600,0
653730,0
653860,0
653990,0
654120,0
654270,0
654410,0
654540,0
654670,0
654800,0
654930,0
655060,0
655190,0
655320,0
655450,0
655580,0
655720,0
655850,0
655980,0
656110,0
656240,0
656370,0
656510,0
656640,0
656790,0
656940,0
657080,0
657210,0
657340,0
657470,0
657600,0
657730,0
657860,0
657990,0
658120,0
658250,0
658400,0
658530,0
658660,0
658790,0
658920,0
659050,0
659180,0
659310,0
659440,0
659570,0
659710,0
659840,0
659980,0
660110,0
660240,0
660400,0
660530,0
660660,0
660790,0
660920,0
661060,0
661190,0
661320,0
661460,0
661590,0
661720,0
661850,0
661980,0
662110,0
662240,0
662410,0
662550,0
662680,0
662810,0
662940,0
663070,0
663200,0
663330,0
663460,0
663590,0
663730,0
663880,0
664010,0
664140,0
664290,0
664420,0
664550,0
664680,0
664810,0
664940,0
665080,0
665210,0
665340,0
665470,0
665600,0
665730,0
665860,0
665990,0
666130,0
666270,0
666410,0
666540,0
666670,0
666820,0
666950,0
667080,0
667210,0
667340,0
667500,0
667630,0
667780,0
667910,0
668040,0
668170,0
668300,0
668430,0
668570,0
668700,0
668830,0
668960,0
669100,0
669230,0
669360,0
669490,0
669620,0
669750,0
669880,0
670010,0
670140,0
670290,0
670430,0
670560,0
670690,0
670830,0
670990,0
671120,0
671250,0
671380,0
671510,0
671640,0
671800,0
671930,0
672060,0
672190,0
672320,0
672450,0
672580,0
672710,0
672840,0
672970,0
673110,0
673240,0
673370,0
673500,0
673630,0
673770,0
673900,0
674030,0
674160,0
674290,0
674460,0
674590,0
674720,0
674850,0
674980,0
675110,0
675250,0
675400,0
675530,0
675660,0
675800,0
675930,0
676060,0
676190,0
676320,0
676450,0
676580,0
676710,0
676840,0
676970,0
677110,0
677240,0
677370,0
677500,0
677630,0
677770,0
677900,0
678060,0
678190,0
678320,0
678460,0
678590,0
678720,0
678850,0
678980,0
679110,0
679240,0
679380,0
679510,0
679640,0
679800,0
679940,0
680080,0
680210,0
680340,0
680480,0
680610,0
680740,0
680870,0
681000,0
681140,0
681290,0
681420,0
681570,0
681700,0
681830,0
681960,0
682090,0
682220,0
682350,0
682490,0
682620,0
682750,0
682880,0
683010,0
683290,0
683420,0
683550,0
683690,0
683830,0
683960,0
684090,0
684220,0
684350,0
684490,0
684620,0
684770,0
684900,0
685060,0
685200,0
685330,0
685460,0
685590,0
685720,0
685850,0
685980,0
686110,0
686240,0
686370,0
686510,0
686640,0
686790,0
686920,0
687050,0
687180,0
687310,0
687440,0
687570,0
687700,0
687850,0
687980,0
688110,0
688240,0
688370,0
688520,0
688650,0
688790,0
688920,0
689060,0
689200,0
689340,0
689470,0
689600,0
689730,0
689870,0
690000,0
690130,0
690270,0
690400,0
690540,0
690670,0
690800,0
690930,0
691060,0
691190,0
691320,0
691480,0
691610,0
691740,0
691880,0
692040,0
692170,0
692300,0
692430,0
692560,0
692690,0
692820,0
692950,0
693080,0
693220,0
693360,0
693490,0
693630,0
693770,0
693900,0
694040,0
694170,0
694300,0
694430,0
694570,0
694700,0
694830,0
694960,0
695090,0
695220,0
695350,0
695480,0
695630,0
695770,0
695910,0
696040,0
696170,0
696300,0
696430,0
696560,0
696690,0
697020,0
697150,0
697280,0
697420,0
697550,0
697680,0
697810,0
697940,0
698070,0
698200,0
698340,0
698490,0
698620,0
698770,0
698900,0
699030,0
699160,0
699320,0
699450,0
699590,0
699720,0
699850,0
699990,0
700130,0
700260,0
700400,0
700540,0
700670,0
700800,0
700930,0
701060,0
701190,0
701320,0
701460,0
701590,0
701720,0
701850,0
701990,0
702120,0
702250,0
703000,0
703130,0
703260,0
703390,0
703530,0
703660,0
703790,0
703920,0
704050,0
704190,0
704320,0
704450,0
704580,0
704720,0
704850,0
704990,0
705120,0
705250,0
705380,0
705520,0
705650,0
705780,0
705910,0
706040,0
706200,0
706330,0
706470,0
706600,0
706730,0
706870,0
707000,0
707130,0
707270,0
707400,0
707530,0
707660,0
707790,0
707920,0
708050,0
708200,0
708330,0
708470,0
708600,0
708730,0
708860,0
709000,0
709130,0
709260,0
709390,0
709550,0
709710,0
709840,0
709980,0
710110,0
710240,0
710370,0
710500,0
710630,0
710770,0
710910,0
711040,0
711170,0
711300,0
711430,0
711570,0
711700,0
711830,0
711970,0
712100,0
712240,0
712370,0
712500,0
712630,0
712760,0
712910,0
713040,0
713170,0
713340,0
713490,0
713630,0
713760,0
713890,0
714020,0
714160,0
714290,0
714420,0
714550,0
714680,0
714810,0
714950,0
715080,0
715210,0
715340,0
715490,0
715620,0
715750,0
715880,0
716010,0
716140,0
716280,0
716410,0
716550,0
716710,0
716840,0
716990,0
717120,0
717250,0
717380,0
717530,0
717670,0
717800,0
717930,0
718060,0
718190,0
718320,0
718450,0
718580,0
718710,0
718840,0
719000,0
719130,0
719260,0
719400,0
719530,0
719660,0
719790,0
719920,0
720050,0
720210,0
720350,0
720490,0
720620,0
720750,0
720880,0
721010,0
721150,0
721280,0
721410,0
721540,0
721690,0
721820,0
721960,0
722090,0
722230,0
722360,0
722490,0
722620,0
722750,0
722880,0
723020,0
723150,0
723280,0
723410,0
723540,0
723700,0
723830,0
723970,0
724100,0
724230,0
724370,0
724500,0
724630,0
