time_boot_ms,time_boot_s,luminosity
563370,563.37,0
563500,563.5,0
563630,563.63,0
563760,563.76,0
563900,563.9,0
564030,564.03,0
564160,564.16,0
564290,564.29,0
564420,564.42,0
564550,564.55,0
564680,564.68,0
564810,564.81,0
564940,564.94,0
565070,565.07,0
565210,565.21,0
565350,565.35,0
565480,565.48,0
565610,565.61,0
565740,565.74,0
565890,565.89,0
566020,566.02,0
566150,566.15,0
566300,566.3,0
566430,566.43,0
566570,566.57,0
566700,566.7,0
566830,566.83,0
566960,566.96,0
567090,567.09,0
567220,567.22,0
567350,567.35,0
567480,567.48,0
567610,567.61,0
567740,567.74,0
567910,567.91,0
568040,568.04,0
568170,568.17,0
568300,568.3,0
568430,568.43,0
568570,568.57,0
568700,568.7,0
568830,568.83,0
568960,568.96,0
569090,569.09,0
569230,569.23,0
569370,569.37,0
569510,569.51,0
569640,569.64,0
569770,569.77,0
569910,569.91,0
570040,570.04,0
570170,570.17,0
570300,570.3,0
570440,570.44,0
570580,570.58,0
570710,570.71,0
570840,570.84,0
570970,570.97,0
571100,571.1,0
571230,571.23,0
571370,571.37,0
571500,571.5,0
571630,571.63,0
571760,571.76,0
571900,571.9,0
572030,572.03,0
572160,572.16,0
572290,572.29,0
572420,572.42,0
572560,572.56,0
572690,572.69,0
572820,572.82,0
572950,572.95,0
573080,573.08,0
573220,573.22,0
573350,573.35,0
573500,573.5,0
573630,573.63,0
573770,573.77,0
573900,573.9,0
574030,574.03,0
574160,574.16,0
574290,574.29,0
574420,574.42,0
574560,574.56,0
574690,574.69,0
574820,574.82,0
574960,574.96,0
575090,575.09,0
575220,575.22,0
575350,575.35,0
575480,575.48,0
575610,575.61,0
575740,575.74,0
575900,575.9,0
576030,576.03,0
576160,576.16,0
576290,576.29,0
576420,576.42,0
576550,576.55,0
576680,576.68,0
576810,576.81,0
576940,576.94,0
577100,577.1,0
577250,577.25,0
577390,577.39,0
577520,577.52,0
577650,577.65,0
577780,577.78,0
577920,577.92,0
578050,578.05,0
578180,578.18,0
578310,578.31,0
578440,578.44,0
578580,578.58,0
578710,578.71,0
578840,578.84,0
578970,578.97,0
579100,579.1,0
579230,579.23,0
579370,579.37,0
579510,579.51,0
579650,579.65,0
579780,579.78,0
579920,579.92,0
580050,580.05,0
580180,580.18,0
580310,580.31,0
580450,580.45,0
580580,580.58,0
580710,580.71,0
581580,581.58,0
581710,581.71,0
581850,581.85,0
581980,581.98,0
582110,582.11,0
582250,582.25,0
582390,582.39,0
582520,582.52,0
582660,582.66,0
582790,582.79,0
582920,582.92,0
583050,583.05,0
583190,583.19,0
583320,583.32,0
583450,583.45,0
583580,583.58,0
583710,583.71,0
583840,583.84,0
583990,583.99,0
584120,584.12,0
584250,584.25,0
584410,584.41,0
584540,584.54,0
584670,584.67,0
584800,584.8,0
584930,584.93,0
585060,585.06,0
585190,585.19,0
585330,585.33,0
585460,585.46,0
585590,585.59,0
585730,585.73,0
585870,585.87,0
586000,586,0
586130,586.13,0
586260,586.26,0
586400,586.4,0
586770,586.77,0
586910,586.91,0
587040,587.04,0
587170,587.17,0
587300,587.3,0
587430,587.43,0
587570,587.57,0
587700,587.7,0
587830,587.83,0
587960,587.96,0
588090,588.09,0
588230,588.23,0
588380,588.38,0
588510,588.51,0
588640,588.64,0
588780,588.78,0
588910,588.91,0
589040,589.04,0
589170,589.17,0
589300,589.3,0
589430,589.43,0
589580,589.58,0
589710,589.71,0
589840,589.84,0
589970,589.97,0
590100,590.1,0
590230,590.23,0
590360,590.36,0
590490,590.49,0
