time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed
0,0.6078567504882812,-0.14148026704788208,0.6920673251152039,-0.3580072224140167,0.0,0.0,0.0
0,0.5905672311782837,-0.10765298455953598,0.6970497965812683,-0.3878088593482971,0.0,0.0,0.0
0,0.5719148516654968,-0.07357979565858841,0.7004002928733826,-0.4166194200515747,0.0,0.0,0.0
0,0.40781712532043457,0.16828961670398712,0.6758658289909363,-0.58753901720047,0.0,0.0,0.0
0,0.3805578649044037,0.201506569981575,0.6657860279083252,-0.6065744757652283,0.0,0.0,0.0
0,0.3521043062210083,0.2346145212650299,0.6542406678199768,-0.6241638660430908,0.0,0.0,0.0
0,0.3226412832736969,0.26716238260269165,0.6412366628646851,-0.6402930617332458,0.0,0.0,0.0
0,0.2924107313156128,0.29870864748954773,0.6266695857048035,-0.655123770236969,0.0,0.0,0.0
0,0.13073430955410004,0.44423630833625793,0.5314707159996033,-0.7069188952445984,0.0,0.0,0.0
0,0.09830352663993835,0.46988987922668457,0.5088747143745422,-0.7121932506561279,0.0,0.0,0.0
0,0.06597963720560074,0.49446356296539307,0.485571026802063,-0.7155461311340332,0.0,0.0,0.0
0,0.03325878828763962,0.5181616544723511,0.46123436093330383,-0.7171458005905151,0.0,0.0,0.0
0,-9.523577318759635e-05,0.5407847166061401,0.43556657433509827,-0.7172632813453674,0.0,0.0,0.0
0,-0.03748947009444237,0.5640743374824524,0.40571001172065735,-0.7158539295196533,0.0,0.0,0.0
0,-0.068260557949543,0.581764817237854,0.38011422753334045,-0.7134677171707153,0.0,0.0,0.0
0,-0.1024259552359581,0.6001261472702026,0.35084256529808044,-0.7091544270515442,0.0,0.0,0.0
0,-0.13629505038261414,0.6172392964363098,0.32109755277633667,-0.7028288245201111,0.0,0.0,0.0
0,-0.16923019289970398,0.6328765153884888,0.2912043333053589,-0.6947383880615234,0.0,0.0,0.0
0,-0.20060977339744568,0.6467893719673157,0.2611575126647949,-0.6854552626609802,0.0,0.0,0.0
0,-0.20060977339744568,0.6467893719673157,0.2611575126647949,-0.6854552626609802,0.0,0.0,0.0
0,-0.23069559037685394,0.6590740084648132,0.23088501393795013,-0.6750747561454773,0.0,0.0,0.0
0,-0.2634257674217224,0.6713614463806152,0.1964998096227646,-0.6617411971092224,0.0,0.0,0.0
0,-0.29354891180992126,0.6813955307006836,0.1640262007713318,-0.6475009322166443,0.0,0.0,0.0
0,-0.3240063488483429,0.6895644068717957,0.13104499876499176,-0.6316492557525635,0.0,0.0,0.0
0,-0.3543764352798462,0.6955516338348389,0.09840939193964005,-0.6144701242446899,0.0,0.0,0.0
0,-0.38387632369995117,0.6998177170753479,0.06561412662267685,-0.5960049033164978,0.0,0.0,0.0
0,-0.5133985877037048,0.6996948719024658,-0.10007541626691818,-0.48318418860435486,0.0,0.0,0.0
0,-0.5357887148857117,0.6946657299995422,-0.1330348253250122,-0.4574982821941376,0.0,0.0,0.0
0,-0.5570204854011536,0.6883613467216492,-0.16601932048797607,-0.4300670623779297,0.0,0.0,0.0
0,-0.577297031879425,0.680472731590271,-0.19845637679100037,-0.40116482973098755,0.0,0.0,0.0
0,-0.596696674823761,0.670624315738678,-0.23037168383598328,-0.3711847960948944,0.0,0.0,0.0
0,-0.614986002445221,0.6587738990783691,-0.261922687292099,-0.3403506875038147,0.0,0.0,0.0
0,-0.6316519975662231,0.6453473567962646,-0.29290664196014404,-0.3088386356830597,0.0,0.0,0.0
0,-0.6464902758598328,0.6305172443389893,-0.32324549555778503,-0.2768458127975464,0.0,0.0,0.0
0,-0.6592566967010498,0.6146386861801147,-0.35268381237983704,-0.24463671445846558,0.0,0.0,0.0
0,-0.6701740622520447,0.5976510643959045,-0.38102176785469055,-0.21245077252388,0.0,0.0,0.0
0,-0.6794117093086243,0.5795152187347412,-0.4081012010574341,-0.18068858981132507,0.0,0.0,0.0
0,-0.6870101690292358,0.5603559613227844,-0.4339178800582886,-0.14955389499664307,0.0,0.0,0.0
0,-0.6927939057350159,0.5402654409408569,-0.45887988805770874,-0.11921457946300507,0.0,0.0,0.0
0,-0.6966832876205444,0.5191606879234314,-0.4833376109600067,-0.09012367576360703,0.0,0.0,0.0
0,-0.6989567279815674,0.49719804525375366,-0.5068963170051575,-0.06278923898935318,0.0,0.0,0.0
0,-0.6996403336524963,0.4731734097003937,-0.5311364531517029,-0.03372760862112045,0.0,0.0,0.0
0,-0.6985964179039001,0.45207861065864563,-0.5515137314796448,-0.007305308245122433,0.0,0.0,0.0
0,-0.6939844489097595,0.4058668613433838,-0.5894924402236938,0.05281532183289528,0.0,0.0,0.0
0,-0.6909563541412354,0.37561124563217163,-0.6082568764686584,0.09028766304254532,0.0,0.0,0.0
0,-0.6848193407058716,0.3448548913002014,-0.6260978579521179,0.1293523907661438,0.0,0.0,0.0
0,-0.6759188175201416,0.3153166174888611,-0.6420516967773438,0.16766516864299774,0.0,0.0,0.0
0,-0.6658584475517273,0.28634336590766907,-0.6554361581802368,0.20414775609970093,0.0,0.0,0.0
0,-0.655487596988678,0.25677064061164856,-0.666657567024231,0.2379191815853119,0.0,0.0,0.0
0,-0.6444898247718811,0.22508354485034943,-0.676860511302948,0.2691896855831146,0.0,0.0,0.0
0,-0.6317880749702454,0.19150814414024353,-0.6865270733833313,0.29913529753685,0.0,0.0,0.0
0,-0.6170192360877991,0.15776358544826508,-0.6949465870857239,0.32875552773475647,0.0,0.0,0.0
0,-0.6003715991973877,0.12538547813892365,-0.7012627124786377,0.3587420880794525,0.0,0.0,0.0
