time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
321870,-790,-384,395,320,367,-47,32767,32767,32767
321970,-789,-384,394,319,370,-49,32767,32767,32767
322070,-789,-384,395,319,367,-47,32767,32767,32767
322770,-789,-384,395,318,362,-44,32767,32767,32767
322870,-790,-384,395,320,365,-43,32767,32767,32767
322970,-789,-384,395,321,370,-43,32767,32767,32767
323070,-789,-384,395,321,369,-44,32767,32767,32767
323170,-789,-384,396,321,366,-48,32767,32767,32767
323270,-789,-384,395,323,366,-48,32767,32767,32767
323670,-789,-384,396,319,362,-45,32767,32767,32767
323770,-789,-383,395,312,360,-42,32767,32767,32767
323870,-789,-384,395,308,362,-42,32767,32767,32767
323970,-789,-384,396,311,366,-42,32767,32767,32767
324070,-789,-383,396,319,368,-44,32767,32767,32767
324180,-790,-384,395,327,367,-47,32767,32767,32767
324270,-790,-384,395,329,366,-47,32767,32767,32767
324370,-790,-383,395,328,368,-48,32767,32767,32767
324470,-789,-384,395,322,369,-49,32767,32767,32767
324570,-789,-383,396,313,365,-45,32767,32767,32767
324670,-788,-384,395,304,354,-40,32767,32767,32767
324770,-789,-383,395,302,352,-36,32767,32767,32767
324880,-790,-384,395,309,364,-36,32767,32767,32767
324970,-791,-384,395,319,371,-39,32767,32767,32767
325070,-790,-383,395,325,368,-48,32767,32767,32767
325170,-789,-383,395,326,362,-53,32767,32767,32767
325270,-788,-383,395,325,364,-50,32767,32767,32767
325870,-788,-383,395,320,368,-42,32767,32767,32767
325970,-789,-384,395,321,373,-48,32767,32767,32767
326070,-789,-384,394,324,373,-52,32767,32767,32767
326170,-789,-383,394,331,370,-52,32767,32767,32767
326270,-789,-385,395,334,370,-51,32767,32767,32767
326370,-790,-383,395,330,369,-50,32767,32767,32767
326470,-789,-385,395,325,369,-48,32767,32767,32767
326570,-789,-384,395,317,368,-47,32767,32767,32767
326670,-788,-384,395,311,362,-43,32767,32767,32767
326770,-789,-385,395,303,354,-40,32767,32767,32767
326870,-788,-384,395,295,348,-35,32767,32767,32767
326970,-789,-384,395,287,346,-25,32767,32767,32767
327070,-788,-384,396,276,340,-10,32767,32767,32767
327170,-790,-382,398,263,332,-1,32767,32767,32767
327280,-790,-383,396,248,328,-6,32767,32767,32767
327380,-790,-382,398,238,328,-18,32767,32767,32767
327570,-791,-381,393,337,363,-41,32767,32767,32767
327770,-790,-383,398,353,399,-69,32767,32767,32767
327870,-789,-382,398,335,390,-76,32767,32767,32767
327970,-788,-383,396,322,368,-70,32767,32767,32767
328070,-787,-383,393,314,353,-50,32767,32767,32767
328170,-789,-381,395,315,357,-26,32767,32767,32767
328270,-791,-383,396,315,369,-20,32767,32767,32767
328370,-791,-383,395,313,369,-34,32767,32767,32767
328470,-791,-383,395,312,365,-57,32767,32767,32767
328570,-790,-381,394,323,368,-69,32767,32767,32767
328670,-791,-383,393,340,381,-65,32767,32767,32767
328770,-788,-383,395,354,387,-55,32767,32767,32767
328870,-790,-383,395,360,379,-48,32767,32767,32767
328970,-789,-385,397,353,368,-50,32767,32767,32767
329070,-789,-383,399,324,353,-49,32767,32767,32767
329170,-789,-383,400,288,348,-40,32767,32767,32767
