time_boot_ms,press_abs,press_diff,temperature
200,1007.0401000976562,-1.5738562778712878e+31,3468
380,1007.03564453125,-1.5738562778712878e+31,3467
400,1007.0556030273438,-1.5738562778712878e+31,3469
430,1007.0188598632812,-1.5738562778712878e+31,3467
480,1007.0305786132812,-1.5738562778712878e+31,3468
500,1007.0438842773438,-1.5738562778712878e+31,3468
1380,1007.0469360351562,-1.5738562778712878e+31,3468
1400,1007.0575561523438,-1.5738562778712878e+31,3468
1440,1007.0682373046875,-1.5738562778712878e+31,3468
1480,1007.0538330078125,-1.5738562778712878e+31,3468
1500,1007.0538330078125,-1.5738562778712878e+31,3468
2380,1007.0489501953125,-1.5738562778712878e+31,3467
2400,1007.0394287109375,-1.5738562778712878e+31,3467
2440,1007.0606689453125,-1.5738562778712878e+31,3468
2490,1007.063720703125,-1.5738562778712878e+31,3467
2510,1007.0682373046875,-1.5738562778712878e+31,3468
3390,1007.0835571289062,-1.5738562778712878e+31,3467
3410,1007.0570678710938,-1.5738562778712878e+31,3465
3440,1007.0657348632812,-1.5738562778712878e+31,3466
3490,1007.0509643554688,-1.5738562778712878e+31,3466
3510,1007.0433959960938,-1.5738562778712878e+31,3465
4390,1007.0916748046875,-1.5738562778712878e+31,3465
4410,1007.0892944335938,-1.5738562778712878e+31,3466
4440,1007.0718383789062,-1.5738562778712878e+31,3466
4490,1007.0964965820312,-1.5738562778712878e+31,3466
4510,1007.0494995117188,-1.5738562778712878e+31,3465
5390,1007.0447998046875,-1.5738562778712878e+31,3466
5420,1007.0228271484375,-1.5738562778712878e+31,3465
5450,1007.0673217773438,-1.5738562778712878e+31,3465
5500,1007.0581665039062,-1.5738562778712878e+31,3466
5520,1007.0797729492188,-1.5738562778712878e+31,3467
6400,1007.080810546875,-1.5738562778712878e+31,3467
6430,1007.0862426757812,-1.5738562778712878e+31,3466
6460,1007.0574340820312,-1.5738562778712878e+31,3465
6500,1007.0623168945312,-1.5738562778712878e+31,3466
6520,1007.0770263671875,-1.5738562778712878e+31,3467
7400,1007.0804443359375,-1.5738562778712878e+31,3467
7450,1007.0619506835938,-1.5738562778712878e+31,3466
7710,1007.0660400390625,-1.5738562778712878e+31,3467
7870,1007.06640625,-1.5738562778712878e+31,3467
7900,1007.0322265625,-1.5738562778712878e+31,3467
8400,1007.1010131835938,-1.5738562778712878e+31,3467
8430,1007.0736083984375,-1.5738562778712878e+31,3467
8460,1007.0407104492188,-1.5738562778712878e+31,3466
8510,1007.0869750976562,-1.5738562778712878e+31,3467
8540,1007.0869750976562,-1.5738562778712878e+31,3467
9410,1007.091796875,-1.5738562778712878e+31,3468
9440,1007.0900268554688,-1.5738562778712878e+31,3467
9470,1007.1017456054688,-1.5738562778712878e+31,3468
9510,1007.055419921875,-1.5738562778712878e+31,3466
9540,1007.0858764648438,-1.5738562778712878e+31,3466
10410,1007.063720703125,-1.5738562778712878e+31,3467
10440,1007.0442504882812,-1.5738562778712878e+31,3468
10470,1007.063720703125,-1.5738562778712878e+31,3467
10520,1007.0647583007812,-1.5738562778712878e+31,3468
10550,1007.0599365234375,-1.5738562778712878e+31,3467
11420,1007.0617065429688,-1.5738562778712878e+31,3468
11460,1007.0435180664062,-1.5738562778712878e+31,3468
11470,1007.08837890625,-1.5738562778712878e+31,3468
11520,1007.0575561523438,-1.5738562778712878e+31,3468
11550,1007.0507202148438,-1.5738562778712878e+31,3468
12420,1007.0863647460938,-1.5738562778712878e+31,3469
12450,1007.0726928710938,-1.5738562778712878e+31,3469
12470,1007.0719604492188,-1.5738562778712878e+31,3468
12520,1007.0973510742188,-1.5738562778712878e+31,3469
12550,1007.078857421875,-1.5738562778712878e+31,3468
13430,1007.103515625,-1.5738562778712878e+31,3469
13460,1007.0651245117188,-1.5738562778712878e+31,3468
13480,1007.0548706054688,-1.5738562778712878e+31,3468
13520,1007.056640625,-1.5738562778712878e+31,3470
13550,1007.0628051757812,-1.5738562778712878e+31,3469
14420,1007.067138671875,-1.5738562778712878e+31,3467
14450,1007.053466796875,-1.5738562778712878e+31,3467
14480,1007.084228515625,-1.5738562778712878e+31,3467
14530,1007.0801391601562,-1.5738562778712878e+31,3467
14550,1007.0732421875,-1.5738562778712878e+31,3467
15420,1007.04443359375,-1.5738562778712878e+31,3466
15450,1007.0473022460938,-1.5738562778712878e+31,3468
15480,1007.056884765625,-1.5738562778712878e+31,3467
15540,1007.046630859375,-1.5738562778712878e+31,3467
15550,1007.0192260742188,-1.5738562778712878e+31,3467
16440,1007.0291137695312,-1.5738562778712878e+31,3467
16450,1007.0408325195312,-1.5738562778712878e+31,3468
16490,1007.0613403320312,-1.5738562778712878e+31,3468
16540,1007.06103515625,-1.5738562778712878e+31,3468
16560,1007.02783203125,-1.5738562778712878e+31,3469
17440,1007.0552368164062,-1.5738562778712878e+31,3469
17450,1007.0316162109375,-1.5738562778712878e+31,3469
17490,1007.0179443359375,-1.5738562778712878e+31,3469
17540,1007.0213623046875,-1.5738562778712878e+31,3469
17560,1007.0361328125,-1.5738562778712878e+31,3470
18440,1007.029296875,-1.5738562778712878e+31,3470
18460,1007.0926513671875,-1.5738562778712878e+31,3471
18490,1007.074462890625,-1.5738562778712878e+31,3470
18540,1007.0611572265625,-1.5738562778712878e+31,3471
18560,1007.040283203125,-1.5738562778712878e+31,3470
19440,1007.047119140625,-1.5738562778712878e+31,3470
19460,1007.0375366210938,-1.5738562778712878e+31,3471
19500,1007.050537109375,-1.5738562778712878e+31,3470
19540,1007.05810546875,-1.5738562778712878e+31,3471
19560,1007.0553588867188,-1.5738562778712878e+31,3471
20440,1007.0299682617188,-1.5738562778712878e+31,3470
20460,1007.0598754882812,-1.5738562778712878e+31,3472
20500,1007.0611572265625,-1.5738562778712878e+31,3471
20550,1007.0238647460938,-1.5738562778712878e+31,3471
20570,1007.0299682617188,-1.5738562778712878e+31,3470
21450,1007.0272827148438,-1.5738562778712878e+31,3471
21470,1007.0478515625,-1.5738562778712878e+31,3471
21500,1007.0265502929688,-1.5738562778712878e+31,3470
21550,1007.0090942382812,-1.5738562778712878e+31,3470
21570,1007.0125122070312,-1.5738562778712878e+31,3470
22450,1007.007080078125,-1.5738562778712878e+31,3471
22470,1007.0420532226562,-1.5738562778712878e+31,3472
22500,1006.9745483398438,-1.5738562778712878e+31,3470
22550,1007.0074462890625,-1.5738562778712878e+31,3471
22570,1007.0078125,-1.5738562778712878e+31,3472
23450,1007.00439453125,-1.5738562778712878e+31,3472
23470,1007.0321044921875,-1.5738562778712878e+31,3472
23510,1007.0013427734375,-1.5738562778712878e+31,3472
23560,1007.0352172851562,-1.5738562778712878e+31,3472
23580,1007.0101928710938,-1.5738562778712878e+31,3471
24460,1007.0218505859375,-1.5738562778712878e+31,3472
24480,1007.0123291015625,-1.5738562778712878e+31,3472
24520,1007.0283813476562,-1.5738562778712878e+31,3472
24560,1007.0396728515625,-1.5738562778712878e+31,3472
24580,1007.0427856445312,-1.5738562778712878e+31,3472
25460,1007.0260009765625,-1.5738562778712878e+31,3472
25480,1007.0643920898438,-1.5738562778712878e+31,3473
25520,1007.0718994140625,-1.5738562778712878e+31,3473
25560,1007.0537109375,-1.5738562778712878e+31,3473
25580,1007.0537109375,-1.5738562778712878e+31,3473
26460,1007.0534057617188,-1.5738562778712878e+31,3472
26480,1007.0454711914062,-1.5738562778712878e+31,3472
