time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
6300,-771,-79,573,-25,20,4,32767,32767,32767
6410,-771,-80,573,-25,20,4,32767,32767,32767
6520,-771,-79,574,-25,20,6,32767,32767,32767
6600,-772,-80,573,-25,20,4,32767,32767,32767
6710,-770,-80,573,-25,20,4,32767,32767,32767
6800,-771,-80,574,-25,20,4,32767,32767,32767
6900,-772,-79,575,-25,20,6,32767,32767,32767
7000,-771,-80,574,-25,20,6,32767,32767,32767
7100,-771,-80,574,-25,20,6,32767,32767,32767
7200,-771,-80,573,-25,20,6,32767,32767,32767
7300,-770,-80,573,-25,20,4,32767,32767,32767
7440,-771,-81,573,-25,20,6,32767,32767,32767
7900,-771,-79,572,-25,20,6,32767,32767,32767
8000,-770,-79,574,-25,20,4,32767,32767,32767
8110,-770,-80,574,-25,20,6,32767,32767,32767
8200,-770,-79,574,-25,20,4,32767,32767,32767
8300,-771,-80,574,-26,20,6,32767,32767,32767
8400,-770,-80,574,-25,20,4,32767,32767,32767
8500,-772,-81,573,-25,20,6,32767,32767,32767
8600,-771,-80,573,-25,20,4,32767,32767,32767
8700,-771,-80,573,-25,20,4,32767,32767,32767
8800,-771,-80,573,-25,20,6,32767,32767,32767
8900,-771,-79,573,-25,20,4,32767,32767,32767
9000,-770,-79,573,-25,20,4,32767,32767,32767
9100,-771,-80,574,-25,20,4,32767,32767,32767
9200,-770,-80,573,-25,20,6,32767,32767,32767
9300,-771,-79,574,-25,20,6,32767,32767,32767
9410,-771,-80,575,-25,20,6,32767,32767,32767
9500,-770,-80,574,-25,20,4,32767,32767,32767
9600,-772,-79,574,-25,20,4,32767,32767,32767
9700,-770,-81,574,-25,20,4,32767,32767,32767
9800,-771,-79,573,-25,20,6,32767,32767,32767
9900,-770,-79,574,-25,20,6,32767,32767,32767
10000,-770,-80,573,-25,20,4,32767,32767,32767
10100,-770,-79,574,-25,20,6,32767,32767,32767
10200,-770,-80,573,-25,20,4,32767,32767,32767
