time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
862140,-4607,5211,-3447,-197,-155,-895,0,0,0
869840,-1863,6595,-3974,-134,504,-83,0,0,0
870340,-1852,6796,-4076,27,520,211,0,0,0
870840,-2000,6449,-4176,268,-313,-133,0,0,0
871340,-2126,6661,-3536,-554,7,-216,0,0,0
871840,-3346,7000,-3604,4389,-7858,1600,0,0,0
872350,-1751,6895,-2375,10551,-5356,2284,0,0,0
872840,-4329,5271,-4938,2469,859,-1470,0,0,0
873340,-3451,5773,-4324,-806,624,1008,0,0,0
873840,-3108,6436,-4636,940,332,522,0,0,0
874340,-2710,6044,-4262,395,-538,-765,0,0,0
874840,-3346,5793,-3960,333,-234,284,0,0,0
875340,-3193,5680,-4157,264,-1058,-3,0,0,0
875840,-3476,5709,-4227,176,-1024,-154,0,0,0
876840,-3083,5496,-3645,321,-1298,-648,0,0,0
877350,-3114,5593,-3763,1058,-1349,-176,0,0,0
877840,-2812,5651,-3768,227,-1016,595,0,0,0
878340,-2771,5916,-3858,298,315,1816,0,0,0
878840,-2783,5895,-3728,563,-1316,-420,0,0,0
879340,-3259,5702,-3469,417,-566,3757,0,0,0
879840,-3781,5576,-3760,-269,-1153,-982,0,0,0
880340,-1822,6422,-3284,405,-857,-2811,0,0,0
880840,-2510,6234,-3181,-576,-259,-1953,0,0,0
881340,-2544,6081,-3037,-479,-587,-3458,0,0,0
881840,-2581,6608,-3511,438,1123,350,0,0,0
882370,-3454,7015,-3969,394,1373,1966,0,0,0
882840,-3125,6894,-3944,-512,1100,473,0,0,0
884840,-2961,6697,-3434,-1344,804,-181,0,0,0
885340,-3690,6825,-3748,-736,862,518,0,0,0
885840,-3651,6458,-3580,144,914,-37,0,0,0
886340,-2933,5493,-2989,-484,-456,-3168,0,0,0
886840,-3605,6379,-3560,1008,1709,18,0,0,0
887340,-4246,6244,-3518,492,1004,-659,0,0,0
887840,-3102,7007,-3900,-1929,837,88,0,0,0
888340,-3262,6186,-3415,-297,-266,-1254,0,0,0
889340,-3500,6490,-3821,-865,623,-360,0,0,0
889840,-3858,6015,-3166,108,1396,-429,0,0,0
890340,-2541,5992,-2964,-2033,261,-2927,0,0,0
890840,-2700,6987,-3430,-2080,597,-1186,0,0,0
891340,-3100,6839,-3327,-1456,1915,713,0,0,0
891840,-3224,6017,-2941,77,1354,-2379,0,0,0
892340,-3060,6073,-3033,-945,1211,-2114,0,0,0
892840,-3781,6659,-3567,-969,2540,-382,0,0,0
893340,-3568,5583,-3506,-925,1765,-1427,0,0,0
893840,-4086,6055,-3852,-1361,1326,-219,0,0,0
894340,-3208,6192,-3002,-1129,924,-2138,0,0,0
894840,-2752,6295,-2881,-2091,935,-2651,0,0,0
895340,-3274,6675,-3548,-1803,1947,699,0,0,0
895840,-3326,6184,-3272,-502,1826,-348,0,0,0
896340,-3007,6011,-3242,-1389,916,-1577,0,0,0
896840,-3346,6762,-3608,-1496,1620,-304,0,0,0
897340,-4359,5803,-3292,-160,2941,295,0,0,0
897840,-3559,5964,-3294,-1482,1578,-1208,0,0,0
898340,-3636,7500,-3362,-979,2397,736,0,0,0
898840,-3518,6744,-2930,-121,1388,-524,0,0,0
899340,-3462,6656,-3334,-684,1519,495,0,0,0
899840,-2841,6320,-3515,221,1059,-1103,0,0,0
900340,-3048,6420,-3420,-689,1256,-1426,0,0,0
900840,-2957,6723,-3708,-1104,1197,-1242,0,0,0
901340,-2751,6122,-3218,-942,1240,-1334,0,0,0
901840,-3397,6390,-3379,-773,1412,-368,0,0,0
902340,-2979,6477,-3449,-227,1528,-721,0,0,0
902840,-3672,5893,-3382,168,622,-1266,0,0,0
903340,-3634,5449,-3271,48,517,-1161,0,0,0
903840,-3664,5137,-3464,756,241,-1196,0,0,0
904340,-3421,6182,-4050,-611,805,746,0,0,0
904840,-3073,6231,-4020,-195,938,1041,0,0,0
905340,-2940,5932,-3815,8,-487,-1399,0,0,0
905840,-3021,6382,-4020,25,393,-98,0,0,0
906340,-2923,6303,-3989,-297,424,-500,0,0,0
906840,-2989,5960,-3839,-484,483,-714,0,0,0
907340,-2312,5763,-3467,-748,188,-1833,0,0,0
907840,-3326,5879,-3899,99,138,-1108,0,0,0
908340,-2720,5819,-3801,176,-77,-1650,0,0,0
908840,-2878,6267,-4132,-764,952,85,0,0,0
909340,-3458,5742,-4075,-388,315,-1253,0,0,0
909840,-3668,5370,-4006,32,-564,-1585,0,0,0
910340,-2616,5123,-3466,-1,-1595,-2830,0,0,0
910840,-2681,5962,-3399,879,-739,-2304,0,0,0
911340,-1882,6441,-3614,-1759,-664,1074,0,0,0
911840,-2412,7208,-4266,-1849,-568,158,0,0,0
912340,-3448,6670,-4412,988,313,2309,0,0,0
912840,-3498,6583,-3568,932,-170,-98,0,0,0
913340,-2468,6272,-3434,202,-796,287,0,0,0
913840,-2818,6050,-3099,134,-1762,-792,0,0,0
914340,-3240,6631,-3822,427,-367,1660,0,0,0
914840,-3307,6587,-3705,630,-98,1607,0,0,0
915340,-1791,6804,-3498,319,367,2189,0,0,0
915840,-2028,6593,-3691,382,-313,-104,0,0,0
916340,-2936,5861,-3899,602,-3,382,0,0,0
916840,-3164,6005,-3939,511,241,100,0,0,0
917340,-2790,6151,-3776,384,-79,-446,0,0,0
917840,-2819,6017,-3804,367,-204,-729,0,0,0
918340,-2885,6370,-3849,-442,-45,-46,0,0,0
918840,-3057,6070,-3831,29,-119,-169,0,0,0
919340,-3034,6161,-3772,14,59,-71,0,0,0
919840,-3200,6332,-3715,367,395,294,0,0,0
920340,-3121,6122,-3820,52,425,562,0,0,0
920840,-2973,5914,-3809,-140,-157,-370,0,0,0
921340,-3142,6341,-3831,-158,65,139,0,0,0
922040,-3087,6279,-3737,-174,-75,-110,0,0,0
922540,-3059,6214,-3847,135,199,106,0,0,0
923040,-3066,6227,-3843,91,157,212,0,0,0
923540,-3025,6200,-3740,-167,-68,55,0,0,0
924040,-3043,6203,-3817,-307,23,67,0,0,0
924540,-3018,6237,-3837,-63,26,-61,0,0,0
925040,-2967,6225,-3829,88,73,-13,0,0,0
