time_boot_ms,distance
869600,20
869730,20
869860,20
869990,20
870120,20
870250,20
870380,20
870510,20
870640,20
870770,20
870910,20
871040,20
871170,20
871330,20
871470,714
871610,720
871750,720
871880,720
872060,101
872190,650
872330,720
872470,720
872600,720
872730,720
873070,504
873210,720
873340,720
873490,720
873620,720
874060,720
874200,720
874350,720
874490,720
874620,720
874750,720
875060,720
875220,515
875350,720
875490,720
875620,720
875760,720
876060,720
876190,720
876320,720
876450,720
876590,720
876720,720
876850,720
877060,720
877190,639
877330,720
877470,720
877600,720
877730,720
877860,720
878060,720
878190,720
878320,720
878450,720
878580,720
878750,720
878880,720
879070,273
879200,720
879340,720
879490,720
879620,720
879750,720
880060,720
880190,720
880330,720
880470,720
880600,720
880730,720
881070,720
881200,720
881340,286
881490,720
881620,720
881750,720
881890,720
882070,720
882200,720
882330,720
882500,720
882630,720
882760,720
882890,720
883070,220
884510,706
884650,720
884790,720
884920,720
885080,720
885350,720
885490,720
885620,720
885760,455
885920,720
886080,720
886220,720
886350,720
886490,720
886620,384
886750,720
886880,356
887090,20
887220,720
887350,720
887490,720
887630,720
887760,720
887890,217
888090,478
888220,720
888350,720
888490,720
888620,720
888750,720
889090,720
889230,720
889370,720
889520,720
889650,720
889790,720
890100,720
890230,720
890370,720
890510,720
890640,720
890780,720
890910,720
891100,720
891240,720
891370,720
891500,720
891630,720
891760,720
892100,720
892230,720
892370,107
892500,639
892630,720
892760,720
892890,96
893110,720
893240,720
893370,720
893500,720
893630,720
893770,720
894110,720
894240,720
894370,20
894510,720
894640,720
894770,720
894900,720
895110,720
895250,720
895390,720
895520,720
895650,720
895780,720
895910,328
896120,720
896250,720
896380,544
896510,720
896640,720
896810,526
896940,720
897120,720
897250,720
897380,720
897510,720
897640,720
897770,20
897900,720
898120,720
898260,720
898390,720
898520,620
898650,305
898780,20
898910,20
899130,409
899260,720
899400,20
899530,20
899680,20
899810,20
899950,720
900130,720
900260,720
900390,720
900790,20
900920,20
901140,20
901280,20
901410,20
901540,20
901670,20
901800,20
901930,20
902130,151
902270,20
902400,20
902540,20
902670,20
902800,20
902930,20
903140,20
903270,20
903400,20
903560,20
903690,20
903820,20
903960,20
904140,20
904270,20
904400,20
904530,20
904660,20
904800,20
904930,720
905150,20
905280,20
905420,20
905550,20
905680,20
905810,20
905940,20
906070,20
906200,20
906330,20
906470,20
906600,20
906740,20
906900,20
907030,20
907160,20
907290,20
907420,20
907550,20
907680,20
907810,20
907940,20
908080,20
908210,20
908350,20
908490,20
908620,20
908760,20
908890,20
909020,20
909150,20
909280,20
909420,20
909550,20
909680,20
909810,20
909940,20
910100,20
910230,20
910360,20
910490,20
910620,20
910760,20
910890,20
911020,20
911150,20
911280,20
911410,20
911540,20
911670,20
911800,20
911930,20
912070,20
912200,20
912330,20
912470,20
912600,20
912730,20
912860,20
912990,20
913120,20
913290,20
913430,20
913560,20
913690,20
913820,20
913950,20
914090,20
914220,20
914360,20
914490,20
914620,20
914760,20
914890,20
915020,20
915180,20
915310,20
915440,20
915570,20
915700,20
915830,20
916180,20
916320,20
916450,20
916580,20
916740,20
916870,20
917180,20
917310,20
917440,20
917570,20
917700,20
917840,20
917990,20
918190,20
918320,20
918450,20
918580,20
918710,20
918840,20
918980,20
919190,20
919340,20
919490,20
919620,20
919750,20
919880,20
920010,20
920190,20
920350,20
920490,20
920620,20
920760,20
920890,20
921020,20
921200,20
921330,20
921470,20
921600,20
921960,20
922090,20
922220,20
922360,20
922490,20
922620,20
922760,20
922890,20
923020,20
923170,20
923300,20
923430,20
923880,20
924010,20
924140,20
924280,20
924410,20
924540,20
924690,20
924820,20
924950,20
925090,20
925220,20
925350,20
925480,20
925610,20
925740,20
925880,20
926010,20
926210,20
926340,20
926480,20
926610,20
926740,20
926870,566
927030,26
927220,720
927350,20
927480,720
927610,20
927740,25
927890,720
928020,20
928220,20
928350,20
928480,20
928610,20
928740,20
928870,20
929000,20
929220,720
929360,720
929490,720
929620,148
929750,148
929880,720
930010,23
930230,25
930370,720
930530,308
930670,720
930810,720
930940,720
931070,720
931230,720
931360,720
931490,720
931620,720
931750,720
931880,720
932010,720
932250,720
932380,720
932510,720
932650,720
932780,720
932910,720
933040,720
933190,720
933320,20
933460,20
933600,20
