time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
15080,-316,-797,478,1061,617,1313,32767,32767,32767
15170,-456,-705,532,726,687,1081,32767,32767,32767
15270,-478,-625,489,136,488,391,32767,32767,32767
15370,-567,-656,533,-125,259,420,32767,32767,32767
15470,-483,-794,455,-1863,-26,-1847,32767,32767,32767
15570,-223,-937,257,-2261,-549,-3252,32767,32767,32767
15670,1,-943,44,-1905,55,-1287,32767,32767,32767
15770,86,-987,-152,-2033,516,-723,32767,32767,32767
15870,104,-884,-291,-1118,367,244,32767,32767,32767
15970,118,-883,-318,-1,96,41,32767,32767,32767
16070,24,-833,-300,597,70,211,32767,32767,32767
16170,81,-1044,-209,1001,366,343,32767,32767,32767
16270,32,-943,-131,604,311,337,32767,32767,32767
17070,-391,-518,766,392,-187,565,32767,32767,32767
17180,-348,-511,809,111,-505,84,32767,32767,32767
17270,-302,-498,824,-194,-192,-202,32767,32767,32767
17370,-270,-557,822,-360,282,-226,32767,32767,32767
17470,-311,-539,764,-144,404,-5,32767,32767,32767
17570,-241,-524,760,103,-713,4,32767,32767,32767
17670,-308,-505,882,1022,559,731,32767,32767,32767
17770,-459,-333,920,3277,3947,1712,32767,32767,32767
17870,-704,-73,448,2166,3329,1889,32767,32767,32767
17970,-812,298,429,1063,504,1744,32767,32767,32767
18070,-802,429,360,292,143,966,32767,32767,32767
18170,-720,447,464,-69,-847,779,32767,32767,32767
18270,-666,463,410,831,305,1054,32767,32767,32767
18370,-637,639,384,506,-838,2540,32767,32767,32767
18470,-274,936,430,1010,-468,1600,32767,32767,32767
18570,-273,877,424,-30,-35,224,32767,32767,32767
18670,-212,866,457,-333,41,-17,32767,32767,32767
18770,-259,863,482,-498,59,43,32767,32767,32767
18880,-247,770,543,-685,190,-58,32767,32767,32767
18980,-267,756,608,-1336,42,-124,32767,32767,32767
19080,-262,667,689,-537,279,251,32767,32767,32767
19170,-256,687,693,345,219,290,32767,32767,32767
19270,-240,721,692,216,159,120,32767,32767,32767
19370,-251,728,706,-829,108,-147,32767,32767,32767
19470,-246,587,867,-1521,178,-751,32767,32767,32767
19570,-361,395,839,-1410,439,-899,32767,32767,32767
20680,166,83,1068,0,0,0,32767,32767,32767
20680,166,83,1068,0,0,0,32767,32767,32767
20680,166,83,1068,0,0,0,32767,32767,32767
20680,166,83,1068,0,0,0,32767,32767,32767
20680,166,83,1068,0,0,0,32767,32767,32767
20680,166,83,1068,0,0,0,32767,32767,32767
7070,541,-524,-788,49,367,-1378,32767,32767,32767
7170,534,-399,-645,1933,509,-285,32767,32767,32767
7280,625,-447,-745,1606,-105,471,32767,32767,32767
7380,551,-530,-582,1515,-388,31,32767,32767,32767
7480,523,-615,-662,653,-377,-201,32767,32767,32767
7580,533,-639,-709,269,39,-623,32767,32767,32767
8170,744,-354,-434,-409,1303,-562,32767,32767,32767
8270,836,-266,-429,-720,1232,-343,32767,32767,32767
8370,870,-25,-345,-282,167,-375,32767,32767,32767
8470,905,-243,-472,1014,215,949,32767,32767,32767
8570,901,-250,-576,-233,703,466,32767,32767,32767
8670,884,-293,-444,185,1318,127,32767,32767,32767
8770,452,-98,-908,532,843,110,32767,32767,32767
8870,883,-212,-121,1323,1057,-23,32767,32767,32767
8970,1016,-266,-87,-44,1654,-984,32767,32767,32767
9070,987,-245,-53,510,822,-41,32767,32767,32767
9170,1062,-161,-20,-123,1181,-434,32767,32767,32767
9270,895,-200,68,-76,934,-123,32767,32767,32767
9370,1029,-131,145,-34,716,-531,32767,32767,32767
9470,1082,-173,69,355,75,582,32767,32767,32767
9570,966,-214,82,477,-194,403,32767,32767,32767
9670,985,-285,-19,776,-562,324,32767,32767,32767
9770,1020,-308,-109,716,-550,518,32767,32767,32767
9870,924,-408,-180,1172,-650,722,32767,32767,32767
9970,923,-420,-167,558,-305,760,32767,32767,32767
10070,805,-531,-269,-544,562,131,32767,32767,32767
10170,864,-438,-260,-1154,538,-368,32767,32767,32767
10270,875,-375,-283,-232,770,-10,32767,32767,32767
10370,960,-391,-306,-954,1373,-81,32767,32767,32767
10470,933,-347,-300,-1320,511,225,32767,32767,32767
10570,870,-361,-296,-695,1169,1099,32767,32767,32767
10670,906,-429,-128,-544,702,90,32767,32767,32767
10770,823,-527,-252,8,8,220,32767,32767,32767
10870,862,-516,-274,98,-234,110,32767,32767,32767
10970,898,-455,-279,38,874,-265,32767,32767,32767
11070,886,-501,-266,310,1037,-205,32767,32767,32767
11170,888,-483,-212,90,538,-133,32767,32767,32767
