time_boot_ms,press_abs,press_diff,temperature
80,1007.0037841796875,-853155643392.0,3630
310,1007.0037841796875,-853155643392.0,3630
340,1006.979736328125,-853155643392.0,3630
370,1006.9828491210938,-853155643392.0,3630
420,1006.9968872070312,-853155643392.0,3630
440,1006.9972534179688,-853155643392.0,3630
1320,1006.9835205078125,-853155643392.0,3630
1340,1006.9910278320312,-853155643392.0,3631
1370,1006.9756469726562,-853155643392.0,3630
1420,1006.9766235351562,-853155643392.0,3630
1440,1007.005126953125,-853155643392.0,3631
2320,1006.985595703125,-853155643392.0,3629
2340,1006.9756469726562,-853155643392.0,3630
2380,1006.982177734375,-853155643392.0,3629
2420,1006.9619140625,-853155643392.0,3630
2450,1007.0,-853155643392.0,3630
2470,1006.9886474609375,-853155643392.0,3629
3320,1006.978759765625,-853155643392.0,3627
3350,1006.9996948242188,-853155643392.0,3627
3380,1007.00927734375,-853155643392.0,3627
3430,1007.0031127929688,-853155643392.0,3627
3450,1007.013427734375,-853155643392.0,3627
4330,1006.9921264648438,-853155643392.0,3627
4350,1007.00927734375,-853155643392.0,3627
4380,1006.9671020507812,-853155643392.0,3626
4430,1007.013427734375,-853155643392.0,3627
4450,1007.0123901367188,-853155643392.0,3626
5330,1006.9708862304688,-853155643392.0,3626
5350,1006.985595703125,-853155643392.0,3627
5390,1006.9705200195312,-853155643392.0,3626
5430,1007.0089721679688,-853155643392.0,3626
5450,1007.000732421875,-853155643392.0,3625
6330,1006.9876708984375,-853155643392.0,3626
6360,1007.0189208984375,-853155643392.0,3626
6390,1006.9664306640625,-853155643392.0,3625
6440,1007.0017700195312,-853155643392.0,3626
6460,1006.98046875,-853155643392.0,3626
7340,1006.9969482421875,-853155643392.0,3625
7360,1006.9866943359375,-853155643392.0,3625
7400,1006.9932250976562,-853155643392.0,3625
7440,1006.9866943359375,-853155643392.0,3625
7460,1006.9976806640625,-853155643392.0,3626
8340,1007.0059204101562,-853155643392.0,3624
8360,1007.0004272460938,-853155643392.0,3625
8400,1006.9925537109375,-853155643392.0,3624
8440,1006.9993896484375,-853155643392.0,3624
8460,1006.986328125,-853155643392.0,3625
9340,1007.0007934570312,-853155643392.0,3623
9370,1007.0007934570312,-853155643392.0,3623
9400,1007.0172729492188,-853155643392.0,3622
