time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
6300,-590,52,784,76,-84,-92,32767,32767,32767
6390,-592,49,780,-145,319,-38,32767,32767,32767
6490,-620,32,748,-274,671,-143,32767,32767,32767
6590,-666,10,723,-18,246,59,32767,32767,32767
6690,-683,16,730,-63,157,93,32767,32767,32767
6790,-671,9,714,3,28,37,32767,32767,32767
6890,-666,17,713,8,-386,-106,32767,32767,32767
7090,-601,10,780,-146,-158,29,32767,32767,32767
7190,-592,7,815,-1,-207,42,32767,32767,32767
7290,-553,27,786,-127,-114,-121,32767,32767,32767
7390,-600,-4,821,4,180,-57,32767,32767,32767
7490,-571,-3,839,-54,-574,-9,32767,32767,32767
7590,-514,0,826,-87,-567,82,32767,32767,32767
7690,-515,-4,847,55,188,-7,32767,32767,32767
7790,-534,8,834,-68,260,-18,32767,32767,32767
7890,-573,-1,838,-103,417,79,32767,32767,32767
7990,-607,-10,792,-141,368,-19,32767,32767,32767
8090,-621,-11,758,-51,529,39,32767,32767,32767
8190,-691,37,696,183,809,326,32767,32767,32767
8290,-724,51,666,65,473,106,32767,32767,32767
8390,-749,21,631,-139,170,-147,32767,32767,32767
8490,-767,31,583,45,1151,32,32767,32767,32767
8590,-831,32,489,30,1148,-216,32767,32767,32767
8690,-866,7,425,-108,467,-91,32767,32767,32767
8790,-873,0,384,-71,433,99,32767,32767,32767
8890,-917,10,320,-262,644,-88,32767,32767,32767
8990,-890,-42,268,-194,221,-113,32767,32767,32767
9090,-1000,-37,255,9,-598,-19,32767,32767,32767
9190,-1161,-57,439,-125,-595,359,32767,32767,32767
9490,-887,-201,437,-1840,-1255,435,32767,32767,32767
9790,-692,-143,670,-386,-654,659,32767,32767,32767
10090,-583,-105,741,-210,-1052,673,32767,32767,32767
10390,-307,-127,966,60,-919,-286,32767,32767,32767
10500,-227,-137,878,-227,-252,903,32767,32767,32767
10590,-390,-82,931,14,425,521,32767,32767,32767
10690,-403,-104,914,-572,224,49,32767,32767,32767
10790,-401,-172,948,48,379,369,32767,32767,32767
10890,-471,-129,870,-181,53,306,32767,32767,32767
11090,-377,-5,814,797,210,1385,32767,32767,32767
11190,-356,113,922,1324,365,1442,32767,32767,32767
11290,-395,173,971,645,309,562,32767,32767,32767
11390,-492,356,884,-5,-196,-28,32767,32767,32767
11490,-447,266,916,146,-394,-130,32767,32767,32767
11600,-328,371,816,285,-699,222,32767,32767,32767
11700,-281,374,829,380,-177,5,32767,32767,32767
11790,-371,498,863,270,-360,90,32767,32767,32767
11890,-287,334,958,-95,-123,-218,32767,32767,32767
11990,-257,483,895,429,-1352,-1311,32767,32767,32767
12190,-177,409,922,-218,-153,-334,32767,32767,32767
12390,47,117,926,-1506,-311,626,32767,32767,32767
12490,-102,122,951,-48,-710,17,32767,32767,32767
12690,55,126,1104,-1968,-1832,-2320,32767,32767,32767
