time_boot_ms,press_abs,press_diff,temperature
80,1007.7888793945312,-9.392720353210833e+23,2609
120,1007.795654296875,-9.392720353210833e+23,2609
140,1007.792236328125,-9.392720353210833e+23,2609
1010,1007.7146606445312,-9.392720353210833e+23,2613
1040,1007.7493286132812,-9.392720353210833e+23,2614
1070,1007.7632446289062,-9.392720353210833e+23,2614
1120,1007.7767944335938,-9.392720353210833e+23,2614
1140,1007.7493286132812,-9.392720353210833e+23,2614
2020,1007.759033203125,-9.392720353210833e+23,2617
2040,1007.7898559570312,-9.392720353210833e+23,2617
2080,1007.7970581054688,-9.392720353210833e+23,2618
4100,1007.7633666992188,-9.392720353210833e+23,2625
6110,1007.78564453125,-9.392720353210833e+23,2632
8140,1007.7647094726562,-9.392720353210833e+23,2637
10190,1007.7883911132812,-9.392720353210833e+23,2637
12290,1007.7928466796875,-9.392720353210833e+23,2644
14390,1007.8045654296875,-9.392720353210833e+23,2650
15040,1007.7662353515625,-9.392720353210833e+23,2651
15060,1007.7662353515625,-9.392720353210833e+23,2651
15070,1007.74462890625,-9.392720353210833e+23,2651
15080,1007.74462890625,-9.392720353210833e+23,2651
15090,1007.78271484375,-9.392720353210833e+23,2651
15100,1007.78271484375,-9.392720353210833e+23,2651
15110,1007.7581787109375,-9.392720353210833e+23,2651
15120,1007.7581787109375,-9.392720353210833e+23,2651
15130,1007.7843017578125,-9.392720353210833e+23,2650
15160,1007.7894287109375,-9.392720353210833e+23,2651
15190,1007.7759399414062,-9.392720353210833e+23,2651
16060,1007.7984619140625,-9.392720353210833e+23,2652
16090,1007.7899169921875,-9.392720353210833e+23,2651
16120,1007.7928466796875,-9.392720353210833e+23,2651
16170,1007.77978515625,-9.392720353210833e+23,2651
16190,1007.7916870117188,-9.392720353210833e+23,2652
17070,1007.785400390625,-9.392720353210833e+23,2653
17090,1007.7988891601562,-9.392720353210833e+23,2653
17130,1007.7667236328125,-9.392720353210833e+23,2652
17170,1007.7786254882812,-9.392720353210833e+23,2653
17200,1007.7714233398438,-9.392720353210833e+23,2652
18070,1007.7799682617188,-9.392720353210833e+23,2653
18100,1007.7610473632812,-9.392720353210833e+23,2654
18130,1007.78466796875,-9.392720353210833e+23,2654
18180,1007.7952880859375,-9.392720353210833e+23,2654
18200,1007.7691650390625,-9.392720353210833e+23,2655
19080,1007.79345703125,-9.392720353210833e+23,2657
19100,1007.7765502929688,-9.392720353210833e+23,2657
19130,1007.7630615234375,-9.392720353210833e+23,2657
19190,1007.8117065429688,-9.392720353210833e+23,2658
19200,1007.8117065429688,-9.392720353210833e+23,2658
20090,1007.813232421875,-9.392720353210833e+23,2661
20100,1007.813232421875,-9.392720353210833e+23,2661
20140,1007.8060302734375,-9.392720353210833e+23,2661
20190,1007.8046875,-9.392720353210833e+23,2660
20210,1007.798828125,-9.392720353210833e+23,2660
