time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
6170,997,-232,-26,25,163,-36,32767,32767,32767
6470,1005,-272,-68,-15,105,10,32767,32767,32767
6770,970,-240,-62,4,43,201,32767,32767,32767
7070,1000,-296,-73,199,138,-54,32767,32767,32767
7370,983,-273,-79,-36,159,27,32767,32767,32767
7670,1049,-200,-52,-38,207,90,32767,32767,32767
7970,1056,-206,-133,143,5,100,32767,32767,32767
8270,960,-331,-121,42,133,-10,32767,32767,32767
8570,993,-223,-90,-44,291,74,32767,32767,32767
8880,1051,-273,-86,-18,167,53,32767,32767,32767
9170,1027,-181,-49,-115,226,83,32767,32767,32767
9470,952,-187,-62,-10,284,105,32767,32767,32767
9770,1070,-193,245,46,297,-82,32767,32767,32767
10070,983,-124,249,111,272,83,32767,32767,32767
10370,859,161,483,487,1258,-1026,32767,32767,32767
10670,796,220,527,128,718,-301,32767,32767,32767
10970,774,131,683,53,51,409,32767,32767,32767
11270,788,178,684,223,456,-406,32767,32767,32767
11570,771,177,683,89,-10,118,32767,32767,32767
11870,828,243,668,-718,-980,483,32767,32767,32767
12170,885,49,443,172,-80,-125,32767,32767,32767
12470,950,84,527,458,42,475,32767,32767,32767
12770,909,36,440,8,168,113,32767,32767,32767
13070,958,-14,511,-111,105,167,32767,32767,32767
13370,804,113,481,294,438,-168,32767,32767,32767
13680,958,-252,487,154,-68,819,32767,32767,32767
13970,863,-317,391,-756,-385,1503,32767,32767,32767
14270,529,-768,292,-358,639,2149,32767,32767,32767
14570,32,-897,339,270,613,1276,32767,32767,32767
14870,-126,-913,363,279,223,684,32767,32767,32767
15080,-316,-797,478,1061,617,1313,32767,32767,32767
15170,-456,-705,532,726,687,1081,32767,32767,32767
15270,-478,-625,489,136,488,391,32767,32767,32767
15370,-567,-656,533,-125,259,420,32767,32767,32767
15470,-483,-794,455,-1863,-26,-1847,32767,32767,32767
15570,-223,-937,257,-2261,-549,-3252,32767,32767,32767
15670,1,-943,44,-1905,55,-1287,32767,32767,32767
15770,86,-987,-152,-2033,516,-723,32767,32767,32767
15870,104,-884,-291,-1118,367,244,32767,32767,32767
15970,118,-883,-318,-1,96,41,32767,32767,32767
16070,24,-833,-300,597,70,211,32767,32767,32767
16170,81,-1044,-209,1001,366,343,32767,32767,32767
16270,32,-943,-131,604,311,337,32767,32767,32767
16370,52,-1015,-109,252,441,155,32767,32767,32767
16570,-6,-988,-123,161,192,381,32767,32767,32767
16870,-471,-916,470,2802,-2574,2700,32767,32767,32767
17070,-391,-518,766,392,-187,565,32767,32767,32767
17180,-348,-511,809,111,-505,84,32767,32767,32767
17270,-302,-498,824,-194,-192,-202,32767,32767,32767
17370,-270,-557,822,-360,282,-226,32767,32767,32767
17470,-311,-539,764,-144,404,-5,32767,32767,32767
17570,-241,-524,760,103,-713,4,32767,32767,32767
17670,-308,-505,882,1022,559,731,32767,32767,32767
17770,-459,-333,920,3277,3947,1712,32767,32767,32767
17870,-704,-73,448,2166,3329,1889,32767,32767,32767
17970,-812,298,429,1063,504,1744,32767,32767,32767
18070,-802,429,360,292,143,966,32767,32767,32767
18170,-720,447,464,-69,-847,779,32767,32767,32767
18270,-666,463,410,831,305,1054,32767,32767,32767
18370,-637,639,384,506,-838,2540,32767,32767,32767
18470,-274,936,430,1010,-468,1600,32767,32767,32767
18570,-273,877,424,-30,-35,224,32767,32767,32767
18670,-212,866,457,-333,41,-17,32767,32767,32767
18770,-259,863,482,-498,59,43,32767,32767,32767
18880,-247,770,543,-685,190,-58,32767,32767,32767
18980,-267,756,608,-1336,42,-124,32767,32767,32767
19080,-262,667,689,-537,279,251,32767,32767,32767
19170,-256,687,693,345,219,290,32767,32767,32767
19270,-240,721,692,216,159,120,32767,32767,32767
19370,-251,728,706,-829,108,-147,32767,32767,32767
19470,-246,587,867,-1521,178,-751,32767,32767,32767
19570,-361,395,839,-1410,439,-899,32767,32767,32767
19670,-380,303,878,-959,850,-318,32767,32767,32767
19770,-548,233,743,-24,1124,-374,32767,32767,32767
19870,-542,168,782,-329,57,49,32767,32767,32767
19970,-519,211,811,438,-94,318,32767,32767,32767
20070,-526,303,808,963,-909,672,32767,32767,32767
20170,-278,432,860,1061,-627,965,32767,32767,32767
20270,-270,485,869,197,-99,290,32767,32767,32767
20370,-230,439,850,-45,-27,326,32767,32767,32767
20470,-212,434,853,-891,-340,387,32767,32767,32767
20570,30,350,982,-1968,-1569,2176,32767,32767,32767
20670,146,87,1029,-1791,-507,210,32767,32767,32767
20770,249,-53,1016,-2030,-1639,2946,32767,32767,32767
