time_boot_ms,q1,q2,q3,q4,rollspeed,pitchspeed,yawspeed
0,0.6177166700363159,-0.6171534657478333,-0.4865829646587372,-0.027862055227160454,0.0,0.0,0.0
0,0.7091667056083679,-0.5073188543319702,-0.4801548421382904,0.07605575770139694,0.0,0.0,0.0
0,0.739126443862915,-0.4591841399669647,-0.48849907517433167,0.028885170817375183,0.0,0.0,0.0
0,0.7213752269744873,-0.40961480140686035,-0.5552890300750732,-0.010523338802158833,0.0,0.0,0.0
0,0.7829327583312988,-0.2626826763153076,-0.559073269367218,-0.045542240142822266,0.0,0.0,0.0
0,0.8003746271133423,-0.14921391010284424,-0.574985146522522,0.05613400414586067,0.0,0.0,0.0
0,0.7855017781257629,-0.027726082131266594,-0.5947710871696472,0.15839584171772003,0.0,0.0,0.0
0,0.7534496784210205,0.04237132519483566,-0.62117600440979,0.20318348705768585,0.0,0.0,0.0
0,0.7416307330131531,0.09574495255947113,-0.6321744918823242,0.19441579282283783,0.0,0.0,0.0
0,0.7984822988510132,0.1511310338973999,-0.5663482546806335,0.12434126436710358,0.0,0.0,0.0
0,0.9355196356773376,-0.07097706198692322,-0.3206946551799774,0.11637449264526367,0.0,0.0,0.0
0,0.9680123329162598,-0.23267653584480286,-0.06718115508556366,-0.03042484261095524,0.0,0.0,0.0
0,0.9563996195793152,-0.2677830159664154,0.03437145799398422,-0.09506417065858841,0.0,0.0,0.0
0,0.9166199564933777,-0.36603277921676636,0.05452616512775421,-0.1395832896232605,0.0,0.0,0.0
0,0.9470829963684082,-0.2792978584766388,0.08940313756465912,-0.11688090860843658,0.0,0.0,0.0
0,0.9561059474945068,-0.25296398997306824,0.11832169443368912,-0.06707502156496048,0.0,0.0,0.0
0,0.9292624592781067,-0.26932933926582336,0.2301807850599289,-0.08706073462963104,0.0,0.0,0.0
0,0.9114816188812256,-0.22416412830352783,0.31545141339302063,-0.12677496671676636,0.0,0.0,0.0
0,0.8704771995544434,-0.1135585829615593,0.4280047118663788,-0.20692625641822815,0.0,0.0,0.0
0,0.8048526048660278,-0.056816279888153076,0.5130022168159485,-0.2871335744857788,0.0,0.0,0.0
0,0.7198360562324524,-0.033635884523391724,0.5986014008522034,-0.34498539566993713,0.0,0.0,0.0
0,0.6454617381095886,-0.012440606020390987,0.6567613482475281,-0.385386198759079,0.0,0.0,0.0
0,0.561654269695282,0.011585261672735214,0.7250801920890808,-0.39408478140830994,0.0,0.0,0.0
0,0.46553635597229004,-0.004279245622456074,0.7846783399581909,-0.4051806330680847,0.0,0.0,0.0
0,0.4534890353679657,0.025599617511034012,0.7806922197341919,-0.4252600371837616,0.0,0.0,0.0
0,0.45972099900245667,0.06951703876256943,0.7738102674484253,-0.4262344241142273,0.0,0.0,0.0
0,0.506841778755188,0.12404762208461761,0.7095045447349548,-0.47006461024284363,0.0,0.0,0.0
0,0.5544446110725403,0.15781354904174805,0.6322635412216187,-0.5143564343452454,0.0,0.0,0.0
0,0.6152715086936951,0.21812249720096588,0.5243157744407654,-0.5436815023422241,0.0,0.0,0.0
0,0.6380626559257507,0.27489033341407776,0.43911707401275635,-0.5666757822036743,0.0,0.0,0.0
0,0.6597154140472412,0.28671637177467346,0.4496987760066986,-0.5262829661369324,0.0,0.0,0.0
0,0.630539059638977,0.24218066036701202,0.5529031753540039,-0.4844589829444885,0.0,0.0,0.0
0,0.6153798699378967,0.2120661437511444,0.6175824403762817,-0.4376773238182068,0.0,0.0,0.0
0,0.4797828495502472,0.2786152958869934,0.7417395114898682,-0.3723407983779907,0.0,0.0,0.0
0,0.48705920577049255,0.2649809718132019,0.7796931266784668,-0.28508028388023376,0.0,0.0,0.0
0,0.47438856959342957,0.25861287117004395,0.8247690200805664,-0.15641048550605774,0.0,0.0,0.0
0,0.36805665493011475,0.3528820872306824,0.8565289974212646,-0.05477829650044441,0.0,0.0,0.0
0,0.318599134683609,0.38723981380462646,0.8631830215454102,-0.009430577047169209,0.0,0.0,0.0
0,0.3275057077407837,0.40301796793937683,0.8525102138519287,-0.013306751847267151,0.0,0.0,0.0
0,0.28607967495918274,0.39044737815856934,0.873101532459259,-0.006046933121979237,0.0,0.0,0.0
0,0.1820463240146637,0.3785187005996704,0.9056459665298462,0.004660244099795818,0.0,0.0,0.0
0,0.10236264020204544,0.37372729182243347,0.9199827313423157,0.01074028480798006,0.0,0.0,0.0
0,0.015978826209902763,0.3655930459499359,0.9286202788352966,0.019609296694397926,0.0,0.0,0.0
0,-0.02853371575474739,0.38140198588371277,0.9221010208129883,0.009029833599925041,0.0,0.0,0.0
0,-0.13049495220184326,0.37925824522972107,0.9141947031021118,-0.004005847033113241,0.0,0.0,0.0
0,-0.16656498610973358,0.3798653781414032,0.9064275026321411,-0.05459776893258095,0.0,0.0,0.0
0,-0.2198314517736435,0.36603397130966187,0.8984310030937195,-0.08454801142215729,0.0,0.0,0.0
0,-0.22694654762744904,0.35963907837867737,0.8927473425865173,-0.1370777189731598,0.0,0.0,0.0
0,-0.1628420352935791,0.3392527103424072,0.8949745297431946,-0.23247064650058746,0.0,0.0,0.0
0,-0.004229649435728788,0.2305307686328888,0.8744795322418213,-0.4227931499481201,0.0,0.0,0.0
0,0.060814861208200455,0.13516740500926971,0.8138012886047363,-0.5589175820350647,0.0,0.0,0.0
0,0.07159862667322159,0.15881597995758057,0.7773882746696472,-0.6016208529472351,0.0,0.0,0.0
0,0.10246044397354126,0.1667374074459076,0.761829137802124,-0.6147724390029907,0.0,0.0,0.0
