time_boot_ms,xacc,yacc,zacc,xgyro,ygyro,zgyro,xmag,ymag,zmag
6170,698,-545,-580,551,1182,-275,32767,32767,32767
6470,581,-545,-557,877,-147,477,32767,32767,32767
6770,539,-499,-648,48,56,162,32767,32767,32767
7070,541,-524,-788,49,367,-1378,32767,32767,32767
7170,534,-399,-645,1933,509,-285,32767,32767,32767
7280,625,-447,-745,1606,-105,471,32767,32767,32767
7380,551,-530,-582,1515,-388,31,32767,32767,32767
7480,523,-615,-662,653,-377,-201,32767,32767,32767
7580,533,-639,-709,269,39,-623,32767,32767,32767
7680,501,-519,-584,284,1120,-754,32767,32767,32767
7970,756,-420,-479,-1419,1963,-441,32767,32767,32767
8170,744,-354,-434,-409,1303,-562,32767,32767,32767
8270,836,-266,-429,-720,1232,-343,32767,32767,32767
8370,870,-25,-345,-282,167,-375,32767,32767,32767
8470,905,-243,-472,1014,215,949,32767,32767,32767
8570,901,-250,-576,-233,703,466,32767,32767,32767
8670,884,-293,-444,185,1318,127,32767,32767,32767
8770,452,-98,-908,532,843,110,32767,32767,32767
8870,883,-212,-121,1323,1057,-23,32767,32767,32767
8970,1016,-266,-87,-44,1654,-984,32767,32767,32767
9070,987,-245,-53,510,822,-41,32767,32767,32767
9170,1062,-161,-20,-123,1181,-434,32767,32767,32767
9270,895,-200,68,-76,934,-123,32767,32767,32767
9370,1029,-131,145,-34,716,-531,32767,32767,32767
9470,1082,-173,69,355,75,582,32767,32767,32767
9570,966,-214,82,477,-194,403,32767,32767,32767
9670,985,-285,-19,776,-562,324,32767,32767,32767
9770,1020,-308,-109,716,-550,518,32767,32767,32767
9870,924,-408,-180,1172,-650,722,32767,32767,32767
9970,923,-420,-167,558,-305,760,32767,32767,32767
10070,805,-531,-269,-544,562,131,32767,32767,32767
10170,864,-438,-260,-1154,538,-368,32767,32767,32767
10270,875,-375,-283,-232,770,-10,32767,32767,32767
10370,960,-391,-306,-954,1373,-81,32767,32767,32767
10470,933,-347,-300,-1320,511,225,32767,32767,32767
10570,870,-361,-296,-695,1169,1099,32767,32767,32767
10670,906,-429,-128,-544,702,90,32767,32767,32767
10770,823,-527,-252,8,8,220,32767,32767,32767
10870,862,-516,-274,98,-234,110,32767,32767,32767
10970,898,-455,-279,38,874,-265,32767,32767,32767
11070,886,-501,-266,310,1037,-205,32767,32767,32767
11170,888,-483,-212,90,538,-133,32767,32767,32767
11270,909,-452,-151,203,677,-36,32767,32767,32767
11370,859,-491,-213,296,736,9,32767,32767,32767
11470,924,-510,-146,538,312,137,32767,32767,32767
11570,871,-506,-162,595,339,0,32767,32767,32767
11670,859,-505,-160,404,149,6,32767,32767,32767
11770,857,-523,-166,661,-624,253,32767,32767,32767
11870,960,-478,-316,991,-1707,75,32767,32767,32767
11970,773,-632,-477,692,-2042,-769,32767,32767,32767
12180,693,-578,-550,767,-147,347,32767,32767,32767
12270,538,-603,-513,427,-76,279,32767,32767,32767
12370,496,-636,-596,-109,-235,303,32767,32767,32767
12470,479,-633,-629,96,786,319,32767,32767,32767
12570,529,-610,-567,111,795,13,32767,32767,32767
12670,543,-631,-617,450,534,-35,32767,32767,32767
12770,532,-620,-588,456,784,-101,32767,32767,32767
12870,568,-603,-539,407,582,-131,32767,32767,32767
12970,581,-618,-541,244,630,-132,32767,32767,32767
13070,614,-614,-551,375,471,-136,32767,32767,32767
13170,582,-628,-557,383,308,-91,32767,32767,32767
13270,597,-618,-540,406,307,-30,32767,32767,32767
13370,625,-613,-532,342,315,-53,32767,32767,32767
13470,606,-618,-496,404,265,34,32767,32767,32767
13570,562,-639,-535,514,-232,-140,32767,32767,32767
13670,612,-618,-562,606,361,-435,32767,32767,32767
13770,633,-617,-547,385,631,-300,32767,32767,32767
13870,659,-604,-490,425,-28,-282,32767,32767,32767
13970,571,-562,-532,230,411,-42,32767,32767,32767
14070,741,-522,-444,38,864,-153,32767,32767,32767
14170,648,-576,-490,88,1516,-498,32767,32767,32767
14270,805,-553,-470,370,519,-2,32767,32767,32767
14370,722,-520,-336,127,1279,-236,32767,32767,32767
14570,812,-434,-354,-108,1500,-315,32767,32767,32767
14770,895,-488,-192,211,-546,15,32767,32767,32767
14970,919,-264,-377,1016,-453,-386,32767,32767,32767
15070,941,-285,-333,802,-246,146,32767,32767,32767
15370,823,-419,-472,367,556,306,32767,32767,32767
15670,854,-437,-304,226,304,-341,32767,32767,32767
15980,834,-442,-371,411,184,38,32767,32767,32767
16280,820,-435,-369,668,1045,-997,32767,32767,32767
16570,878,-368,-290,444,-258,241,32767,32767,32767
16870,807,-442,-387,261,162,-59,32767,32767,32767
17170,990,-266,-177,407,1161,-809,32767,32767,32767
17470,937,-295,-217,202,248,73,32767,32767,32767
17770,926,-367,-300,404,477,21,32767,32767,32767
18070,1028,-336,-4,-637,1098,420,32767,32767,32767
18370,981,-395,-229,-1486,1160,658,32767,32767,32767
18670,893,-476,-374,-774,1083,122,32767,32767,32767
18970,817,-500,-235,488,529,-105,32767,32767,32767
19270,846,-489,-193,440,351,-215,32767,32767,32767
19570,920,-454,-186,309,401,-95,32767,32767,32767
19870,887,-433,-342,959,166,-133,32767,32767,32767
20170,924,-276,-320,2485,-1149,-359,32767,32767,32767
20470,974,-281,-197,2643,-830,-1093,32767,32767,32767
20770,1050,-324,126,2076,671,-618,32767,32767,32767
21070,949,-352,105,191,382,56,32767,32767,32767
21370,935,-377,-201,560,-884,45,32767,32767,32767
21670,958,-448,-192,568,286,-111,32767,32767,32767
21970,911,-438,-151,305,318,-25,32767,32767,32767
22270,933,-421,-226,292,478,-60,32767,32767,32767
22570,939,-427,-217,298,346,-70,32767,32767,32767
22870,875,-452,-158,388,575,77,32767,32767,32767
23170,825,-487,-208,469,318,73,32767,32767,32767
23470,889,-454,-162,320,374,-60,32767,32767,32767
23770,892,-470,-203,347,308,0,32767,32767,32767
24070,946,-476,-114,441,212,-302,32767,32767,32767
24370,833,-379,-279,795,13,-34,32767,32767,32767
24670,918,-502,-16,1411,-125,205,32767,32767,32767
24970,894,-460,46,-56,550,41,32767,32767,32767
25270,840,-544,-273,332,565,-198,32767,32767,32767
25570,809,-522,-162,358,213,-61,32767,32767,32767
