time_boot_ms,press_abs,press_diff,temperature
80,1007.8911743164062,-1.066796037779996e+31,2956
650,1007.944580078125,-1.066796037779996e+31,2957
670,1007.9454345703125,-1.066796037779996e+31,2958
710,1007.9170532226562,-1.066796037779996e+31,2957
750,1007.8936767578125,-1.066796037779996e+31,2957
770,1007.9140625,-1.066796037779996e+31,2957
1650,1007.9203491210938,-1.066796037779996e+31,2959
1680,1007.9356079101562,-1.066796037779996e+31,2960
1710,1007.908447265625,-1.066796037779996e+31,2960
1760,1007.908447265625,-1.066796037779996e+31,2960
1780,1007.9321899414062,-1.066796037779996e+31,2960
2660,1007.8986206054688,-1.066796037779996e+31,2962
2680,1007.8922119140625,-1.066796037779996e+31,2962
2710,1007.8854370117188,-1.066796037779996e+31,2962
2760,1007.9262084960938,-1.066796037779996e+31,2962
2780,1007.8990478515625,-1.066796037779996e+31,2962
3660,1007.9262084960938,-1.066796037779996e+31,2962
3680,1007.9202270507812,-1.066796037779996e+31,2963
3710,1007.9282836914062,-1.066796037779996e+31,2964
3760,1007.9308471679688,-1.066796037779996e+31,2963
3780,1007.9104614257812,-1.066796037779996e+31,2963
4660,1007.8976440429688,-1.066796037779996e+31,2966
5650,1007.9060668945312,-1.066796037779996e+31,2967
5660,1007.8988647460938,-1.066796037779996e+31,2967
5660,1007.8988647460938,-1.066796037779996e+31,2967
5670,1007.8988647460938,-1.066796037779996e+31,2967
5680,1007.8976440429688,-1.066796037779996e+31,2966
5690,1007.8976440429688,-1.066796037779996e+31,2966
5720,1007.8751220703125,-1.066796037779996e+31,2967
5770,1007.9056396484375,-1.066796037779996e+31,2967
5790,1007.8844604492188,-1.066796037779996e+31,2966
6670,1007.9074096679688,-1.066796037779996e+31,2966
6690,1007.91796875,-1.066796037779996e+31,2966
6730,1007.9039916992188,-1.066796037779996e+31,2966
6770,1007.9111938476562,-1.066796037779996e+31,2966
6800,1007.9209594726562,-1.066796037779996e+31,2966
7670,1007.9282836914062,-1.066796037779996e+31,2964
7700,1007.8964233398438,-1.066796037779996e+31,2963
7730,1007.9112548828125,-1.066796037779996e+31,2964
7770,1007.9342041015625,-1.066796037779996e+31,2963
7800,1007.9202270507812,-1.066796037779996e+31,2963
8670,1007.8875122070312,-1.066796037779996e+31,2964
8800,1007.913330078125,-1.066796037779996e+31,2965
9660,1007.893798828125,-1.066796037779996e+31,2966
9680,1007.8692016601562,-1.066796037779996e+31,2965
9690,1007.8692016601562,-1.066796037779996e+31,2965
9700,1007.892578125,-1.066796037779996e+31,2965
9720,1007.8861694335938,-1.066796037779996e+31,2965
9730,1007.8870239257812,-1.066796037779996e+31,2966
9790,1007.874755859375,-1.066796037779996e+31,2964
9800,1007.884521484375,-1.066796037779996e+31,2964
10690,1007.8884887695312,-1.066796037779996e+31,2960
10700,1007.8864135742188,-1.066796037779996e+31,2959
10740,1007.8834228515625,-1.066796037779996e+31,2959
10790,1007.8829956054688,-1.066796037779996e+31,2959
10810,1007.9042358398438,-1.066796037779996e+31,2959
11690,1007.904052734375,-1.066796037779996e+31,2963
11710,1007.8765258789062,-1.066796037779996e+31,2963
11740,1007.901123046875,-1.066796037779996e+31,2964
11790,1007.9014892578125,-1.066796037779996e+31,2964
11810,1007.8883666992188,-1.066796037779996e+31,2964
12690,1007.9044189453125,-1.066796037779996e+31,2966
12710,1007.9052734375,-1.066796037779996e+31,2966
12740,1007.9150390625,-1.066796037779996e+31,2966
12790,1007.8904418945312,-1.066796037779996e+31,2966
12810,1007.8738403320312,-1.066796037779996e+31,2966
13690,1007.8992919921875,-1.066796037779996e+31,2967
13710,1007.9132690429688,-1.066796037779996e+31,2967
13750,1007.9102783203125,-1.066796037779996e+31,2967
13790,1007.9290161132812,-1.066796037779996e+31,2966
13810,1007.9429931640625,-1.066796037779996e+31,2967
14690,1007.9217529296875,-1.066796037779996e+31,2968
14720,1007.8941650390625,-1.066796037779996e+31,2968
14750,1007.9425048828125,-1.066796037779996e+31,2968
14800,1007.9412841796875,-1.066796037779996e+31,2968
14820,1007.91748046875,-1.066796037779996e+31,2968
15700,1007.8726196289062,-1.066796037779996e+31,2965
15720,1007.9154052734375,-1.066796037779996e+31,2966
15750,1007.9146118164062,-1.066796037779996e+31,2966
15800,1007.9362182617188,-1.066796037779996e+31,2967
15820,1007.9252319335938,-1.066796037779996e+31,2966
16700,1007.8903198242188,-1.066796037779996e+31,2968
16720,1007.9183349609375,-1.066796037779996e+31,2968
16760,1007.8907470703125,-1.066796037779996e+31,2968
16800,1007.95654296875,-1.066796037779996e+31,2969
16820,1007.9217529296875,-1.066796037779996e+31,2968
17700,1007.9730224609375,-1.066796037779996e+31,2970
17730,1007.9310302734375,-1.066796037779996e+31,2970
17760,1007.9140625,-1.066796037779996e+31,2970
17810,1007.9436645507812,-1.066796037779996e+31,2971
17830,1007.918701171875,-1.066796037779996e+31,2970
18710,1007.9127197265625,-1.066796037779996e+31,2971
18730,1007.91064453125,-1.066796037779996e+31,2970
18760,1007.9157104492188,-1.066796037779996e+31,2971
18810,1007.9292602539062,-1.066796037779996e+31,2971
18830,1007.8869018554688,-1.066796037779996e+31,2970
19710,1007.9254760742188,-1.066796037779996e+31,2958
19730,1007.9080810546875,-1.066796037779996e+31,2958
19770,1007.906005859375,-1.066796037779996e+31,2956
20180,1007.8920288085938,-1.066796037779996e+31,2956
20190,1007.8670043945312,-1.066796037779996e+31,2955
20710,1007.86279296875,-1.066796037779996e+31,2955
21700,1007.829345703125,-1.066796037779996e+31,2951
21700,1007.8387451171875,-1.066796037779996e+31,2951
21720,1007.8387451171875,-1.066796037779996e+31,2951
21720,1007.82177734375,-1.066796037779996e+31,2951
21730,1007.82177734375,-1.066796037779996e+31,2951
21740,1007.82177734375,-1.066796037779996e+31,2951
21770,1007.858642578125,-1.066796037779996e+31,2950
21820,1007.8599243164062,-1.066796037779996e+31,2951
21840,1007.845947265625,-1.066796037779996e+31,2951
22720,1007.843017578125,-1.066796037779996e+31,2949
22760,1007.8807373046875,-1.066796037779996e+31,2949
22780,1007.885009765625,-1.066796037779996e+31,2950
22820,1007.88037109375,-1.066796037779996e+31,2949
22840,1007.8621215820312,-1.066796037779996e+31,2948
23720,1007.83544921875,-1.066796037779996e+31,2947
25740,1007.8680419921875,-1.066796037779996e+31,2950
25780,1007.84130859375,-1.066796037779996e+31,2950
25780,1007.84130859375,-1.066796037779996e+31,2950
25800,1007.8594970703125,-1.066796037779996e+31,2951
25810,1007.8594970703125,-1.066796037779996e+31,2951
25820,1007.8590698242188,-1.066796037779996e+31,2951
25830,1007.8590698242188,-1.066796037779996e+31,2951
25840,1007.8590698242188,-1.066796037779996e+31,2951
